2A 2F 2F 2F 2F 2F 2F 2F 2F 2F 2F 2F 2F 2F 2F 2F 2F 2F 2F 2B
2E 04 10 08 14 14 04 08 0C 04 10 08 10 08 0C 04 14 0C 04 2C
2E 08 14 0C 24 24 24 24 10 08 14 0C 24 24 24 24 04 10 08 2C
2E 0C 04 10 24 04 08 0C 14 0C 04 10 08 10 04 24 08 14 0C 2C
2E 10 08 14 24 08 0C 10 04 10 08 14 0C 14 08 24 0C 04 10 2C
2E 14 0C 04 24 0C 10 14 08 14 0C 04 10 04 0C 24 10 08 14 2C
2E 04 10 08 04 10 14 04 0C 24 24 08 14 08 10 08 14 0C 04 2C
2E 08 14 0C 08 14 04 08 10 24 24 0C 04 0C 14 0C 04 10 08 2C
2E 0C 04 10 0C 04 08 0C 14 24 24 10 08 10 04 10 08 14 0C 2C
2E 10 08 14 24 08 0C 10 04 0C 10 14 0C 14 08 24 0C 04 10 2C
2E 14 0C 04 24 0C 10 14 08 10 14 04 10 04 0C 24 10 08 14 2C
2E 04 10 08 24 10 14 04 0C 14 04 08 14 08 10 24 14 0C 04 2C
2E 08 14 0C 24 24 24 24 10 04 08 0C 24 24 24 24 04 10 08 2C
2E 0C 04 10 10 14 04 08 14 08 0C 10 04 0C 14 10 08 14 0C 2C
29 2D 2D 2D 2D 2D 2D 2D 2D 2D 2D 2D 2D 2D 2D 2D 2D 2D 2D 28
